skytrax_16_name,IATA,2016,2015,2014,2013,2012,2011
Adelaide Airport,ADL,69,63,66,77,75,74
Auckland Airport,AKL,21,15,11,12,13,8
Amsterdam Schiphol,AMS,13,9,5,3,4,6
Stockholm Arlanda,ARN,67,61,65,60,51,46
Athens Intl Airport,ATH,60,55,56,51,33,43
Hartsfield-Jackson,ATL,43,44,45,48,59,57
Abu Dhabi Airport,AUH,38,29,22,20,18,26
Bahrain Airport,BAH,47,46,47,55,58,52
Barcelona Airport,BCN,27,37,38,39,21,15
Birmingham Airport,BHX,87,82,81,91,95,98
Bangkok Suvarnabhumi,BKK,36,47,48,38,25,13
Billund Airport,BLL,79,68,62,57,50,62
Bengaluru Airport,BLR,74,64,79,73,67,59
Brisbane Airport,BNE,17,20,23,21,34,38
Bogota El Dorado,BOG,46,94,260,0,0,0
Mumbai  Intl Airport,BOM,64,141,0,0,0,0
Boston Logan Airport,BOS,97,88,86,88,94,99
Brussels Airport,BRU,83,78,72,66,69,63
Budapest Intl Airport,BUD,76,69,71,101,85,78
Cairo Airport,CAI,0,0,0,0,100,82
Guangzhou Airport,CAN,85,66,42,42,52,41
Paris CDG Airport,CDG,33,48,95,82,78,89
JakartaIntl Airport,CGK,63,57,60,113,0,0
Cologne/Bonn Airport,CGN,19,23,28,37,53,61
Christchurch Airport,CHC,51,76,74,64,70,65
Charlotte/Douglas,CLT,0,0,97,87,88,87
Copenhagen Airport,CPH,18,16,17,17,12,10
Cape Town Airport,CPT,22,26,30,22,27,28
Chengdu Airport,CTU,50,50,94,182,0,0
Cincinnati/Kentucky,CVG,32,30,27,30,24,24
Delhi Intl Airport,DEL,66,58,59,69,62,95
Denver Airport,DEN,28,33,29,36,44,35
Dallas/Fort Worth,DFW,58,62,54,54,49,37
Moscow Domodedovo,DME,53,51,55,49,40,36
Doha Hamad Airport,DOH,10,22,75,68,63,56
Detroit Airport,DTW,89,96,87,79,76,72
Dublin Airport,DUB,80,81,92,95,104,0
Durban Airport,DUR,35,28,32,26,35,33
Dusseldorf Airport,DUS,39,34,36,27,36,31
Dubai Airport,DXB,26,39,25,33,26,23
Newark Intl Airport,EWR,0,0,0,93,96,101
Frankfurt Airport,FRA,12,13,13,11,15,20
Fukuoka Airport,FUK,98,93,99,92,92,90
Gimpo Intl Airport,GMP,42,41,33,23,23,27
Geneva Intl Airport,GVA,96,95,109,96,105,0
Guayaquil Airport,GYE,65,59,57,45,56,58
Haikou Meilan Airport,HAK,52,53,34,44,64,53
Hamburg Airport,HAM,40,45,44,43,28,29
Hanoi Noi Bai Airport,HAN,82,218,0,0,0,0
Helsinki Airport,HEL,15,18,19,15,22,18
Hong Kong Intl Airport,HKG,5,4,4,4,3,1
Tokyo Intl  Haneda,HND,4,5,6,9,14,17
Hyderabad Airport,HYD,68,70,68,65,77,92
Houston George Bush,IAH,71,101,90,80,83,81
